easterSunday, year
11 April 1700, 1700
1 April 1725, 1725
29 March 1750, 1750
16 April 1775, 1775
27 March 1701, 1701
21 April 1726, 1726
11 April 1751, 1751
7 April 1776, 1776
16 April 1702, 1702
13 April 1727, 1727
2 April 1752, 1752
30 March 1777, 1777
8 April 1703, 1703
28 March 1728, 1728
22 April 1753, 1753
19 April 1778, 1778
23 March 1704, 1704
17 April 1729, 1729
14 April 1754, 1754
4 April 1779, 1779
12 April 1705, 1705
9 April 1730, 1730
30 March 1755, 1755
26 March 1780, 1780
4 April 1706, 1706
25 March 1731, 1731
18 April 1756, 1756
15 April 1781, 1781
24 April 1707, 1707
13 April 1732, 1732
10 April 1757, 1757
31 March 1782, 1782
8 April 1708, 1708
5 April 1733, 1733
26 March 1758, 1758
20 April 1783, 1783
31 March 1709, 1709
25 April 1734, 1734
15 April 1759, 1759
11 April 1784, 1784
20 April 1710, 1710
10 April 1735, 1735
6 April 1760, 1760
27 March 1785, 1785
5 April 1711, 1711
1 April 1736, 1736
22 March 1761, 1761
16 April 1786, 1786
27 March 1712, 1712
21 April 1737, 1737
11 April 1762, 1762
8 April 1787, 1787
16 April 1713, 1713
6 April 1738, 1738
3 April 1763, 1763
23 March 1788, 1788
1 April 1714, 1714
29 March 1739, 1739
22 April 1764, 1764
12 April 1789, 1789
21 April 1715, 1715
17 April 1740, 1740
7 April 1765, 1765
4 April 1790, 1790
12 April 1716, 1716
2 April 1741, 1741
30 March 1766, 1766
24 April 1791, 1791
28 March 1717, 1717
25 March 1742, 1742
19 April 1767, 1767
8 April 1792, 1792
17 April 1718, 1718
14 April 1743, 1743
3 April 1768, 1768
31 March 1793, 1793
9 April 1719, 1719
5 April 1744, 1744
26 March 1769, 1769
20 April 1794, 1794
31 March 1720, 1720
18 April 1745, 1745
15 April 1770, 1770
5 April 1795, 1795
13 April 1721, 1721
10 April 1746, 1746
31 March 1771, 1771
27 March 1796, 1796
5 April 1722, 1722
2 April 1747, 1747
19 April 1772, 1772
16 April 1797, 1797
28 March 1723, 1723
14 April 1748, 1748
11 April 1773, 1773
8 April 1798, 1798
16 April 1724, 1724
6 April 1749, 1749
3 April 1774, 1774
24 March 1799, 1799
13 April 1800, 1800
3 April 1825, 1825
31 March 1850, 1850
28 March 1875, 1875
5 April 1801, 1801
26 March 1826, 1826
20 April 1851, 1851
16 April 1876, 1876
18 April 1802, 1802
15 April 1827, 1827
11 April 1852, 1852
1 April 1877, 1877
10 April 1803, 1803
6 April 1828, 1828
27 March 1853, 1853
21 April 1878, 1878
1 April 1804, 1804
19 April 1829, 1829
16 April 1854, 1854
13 April 1879, 1879
14 April 1805, 1805
11 April 1830, 1830
8 April 1855, 1855
28 March 1880, 1880
6 April 1806, 1806
3 April 1831, 1831
23 March 1856, 1856
17 April 1881, 1881
29 March 1807, 1807
22 April 1832, 1832
12 April 1857, 1857
9 April 1882, 1882
17 April 1808, 1808
7 April 1833, 1833
4 April 1858, 1858
25 March 1883, 1883
2 April 1809, 1809
30 March 1834, 1834
24 April 1859, 1859
